Rk,Player,Pos,Tm,Cap Hit
160,Mike Iupati\IupaMi20,G,ARI,"$5,000,000 "
161,Jared Cook\CookJa02,TE,OAK,"$5,000,000 "
162,J.C. Tretter\TretJC00,OG,CLE,"$5,000,000 "
163,Mike Pouncey\PounMi00,OL,LAC,"$5,000,000 "
164,Torrey Smith\SmitTo02,WR,CAR,"$5,000,000 "
165,Christian Kirksey\KirkCh00,OLB,CLE,"$5,000,000 "
166,Sam Bradford\BradSa00,QB,ARI,"$5,000,000 "
167,Brandon Marshall\MarsBr01,OLB,DEN,"$5,000,000 "
168,Jermaine Kearse\KearJe01,WR,NYJ,"$5,000,000 "
169,Ryan Schraeder\SchrRy00,T,ATL,"$5,000,000 "
170,Rishard Matthews\MattRi00,WR,TEN,"$5,000,000 "
171,Charles Leno\LenoCh00,OG,CHI,"$4,900,000 "
172,Dre Kirkpatrick\KirkDr00,CB,CIN,"$4,750,000 "
173,Whitney Mercilus\MercWh00,DE,HOU,"$4,750,000 "
174,Trai Turner\TurnTr01,OG,CAR,"$4,703,000 "
175,Clint Boling\BoliCl00,OL,CIN,"$4,550,000 "
176,Michael Johnson\JohnMi98,DE,CIN,"$4,550,000 "
177,Brandon Mebane\MebaBr99,DT,LAC,"$4,500,000 "
178,Brandon Carr\CarrBr99,DB,BAL,"$4,500,000 "
179,Ben Jones\JoneBe01,C,TEN,"$4,500,000 "
180,Darian Stewart\StewDa00,DB,DEN,"$4,500,000 "
181,Charles Clay\ClayCh00,TE,BUF,"$4,500,000 "
182,Barry Church\ChurBa99,DB,JAX,"$4,500,000 "
183,Joe Barksdale\BarkJo00,OL,LAC,"$4,500,000 "
184,Akiem Hicks\HickAk00,DE,CHI,"$4,500,000 "
185,Ryan Kalil\KaliRy20,C,CAR,"$4,500,000 "
186,Jahleel Addae\AddaJa00,S,LAC,"$4,500,000 "
187,Max Unger\UngeMa20,C,NOR,"$4,500,000 "
188,James Carpenter\CarpJa00,OL,NYJ,"$4,450,000 "
189,La'el Collins\CollLa01,OT,DAL,"$4,350,000 "
190,Bobby Massie\MassBo00,T,CHI,"$4,250,000 "
191,Larry Warford\WarfLa00,OG,NOR,"$4,250,000 "
192,Gabe Jackson\JackGa00,OG,OAK,"$4,250,000 "
193,A.J. Klein\KleiAJ00,ILB,NOR,"$4,100,000 "
194,Marcus Gilbert\GilbMa00,OL,PIT,"$4,050,000 "
195,Casey Hayward\HaywCa00,DB,LAC,"$4,000,000 "
196,DaQuan Jones\JoneDa04,DT,TEN,"$4,000,000 "
197,Terrell Suggs\SuggTe99,LB-DE,BAL,"$4,000,000 "
198,Marcus Cannon\CannMa00,OL,NWE,"$4,000,000 "
199,Nick Foles\FoleNi00,QB,PHI,"$4,000,000 "
200,Bilal Powell\PoweBi00,RB,NYJ,"$4,000,000 "
201,Tom Brady\BradTo00,QB,NWE,"$4,000,000 "
202,Avery Williamson\WillAv00,ILB,NYJ,"$4,000,000 "
203,William Hayes\HayeWi99,DE,MIA,"$4,000,000 "
204,Terrelle Pryor\PryoTe00,QB,NYJ,"$4,000,000 "
205,Mark Ingram\IngrMa01,RB,NOR,"$4,000,000 "
206,Brandin Cooks\CookBr00,WR,LAR,"$4,000,000 "
207,Allen Robinson\RobiAl02,WR,CHI,"$4,000,000 "
208,Jermey Parnell\ParnJe00,T,JAX,"$4,000,000 "
209,Demar Dotson\DotsDe00,T,TAM,"$3,975,000 "
210,Mike Remmers\RemmMi00,T,MIN,"$3,900,000 "
211,Everson Griffen\GrifEv99,DE,MIN,"$3,900,000 "
212,Jack Doyle\DoylJa00,TE,IND,"$3,900,000 "
